trip_purpose,companion_count,booking_window,booking_channel,flights_per_year,competitor_used,price_paid_range,price_perception,experience_vs_expectation,comfort_rating,service_rating,return_intent,next_travel_window,booking_decision_factor,loyalty_sensitive,seat_class,departure_hour,departure_day,departure_month,occupancy_pct,route,flight_id,seat_id,purchase_intent_score,offer_clicked,offer_shown,submitted_at
LEISURE,PAIR,LAST_MINUTE,MOBILE_APP,1_2,NO,ABOVE_400,GREAT_DEAL,AS_EXPECTED,5,4,PLANNED,1_3_MONTHS,BEST_SCHEDULE,YES,BUSINESS,6,13,6,60.0,CMN-MAD,50,18F,31,0,LOUNGE,2026-05-07 19:50:57.926941
LEISURE,ALONE,LAST_MINUTE,AGENCY,1_2,NO,200_400,GREAT_DEAL,AS_EXPECTED,4,4,PLANNED,THIS_MONTH,DIRECT_FLIGHT,NO,FIRST,6,9,1,83.3,CMN-CDG,34,35D,59,0,LOUNGE,2026-05-16 21:45:57.926941
LEISURE,GROUP,FEW_WEEKS,MOBILE_APP,3_5,YES,200_400,FAIR,BETTER,5,3,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,0,10,5,56.3,CMN-DXB,30,29H,63,0,UPGRADE,2026-04-24 02:52:57.926941
FAMILY,GROUP,LAST_MINUTE,MOBILE_APP,1_2,NO,200_400,GREAT_DEAL,WORSE,3,4,BOOKED,1_3_MONTHS,BEST_SCHEDULE,YES,BUSINESS,7,16,10,90.9,CMN-MAD,30,27D,39,0,LOUNGE,2026-06-09 20:38:57.926941
FAMILY,ALONE,FEW_WEEKS,WEBSITE,6_10,NO,ABOVE_400,GREAT_DEAL,BETTER,2,5,BOOKED,NOT_SURE,LOYALTY,NO,ECONOMY,14,20,12,93.2,CMN-DKR,36,29C,90,0,UPGRADE,2026-04-29 03:40:57.926941
BUSINESS,GROUP,FEW_WEEKS,MOBILE_APP,3_5,NO,200_400,FAIR,AS_EXPECTED,3,4,PLANNED,THIS_MONTH,BEST_SCHEDULE,YES,ECONOMY,12,23,3,83.1,CMN-MAD,27,27F,35,1,UPGRADE,2026-05-06 05:44:57.926941
LEISURE,GROUP,LAST_MINUTE,AGENCY,6_10,NO,UNDER_100,TOO_EXPENSIVE,BETTER,5,5,PLANNED,1_3_MONTHS,DIRECT_FLIGHT,YES,BUSINESS,13,16,1,66.0,CMN-YUL,47,11H,54,0,LOUNGE,2026-04-10 00:48:57.926941
BUSINESS,GROUP,MONTHS_AHEAD,WEBSITE,3_5,YES,ABOVE_400,GREAT_DEAL,BETTER,4,3,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,13,9,2,70.4,CMN-CAI,4,23D,45,0,UPGRADE,2026-03-24 17:58:57.926941
BUSINESS,ALONE,MONTHS_AHEAD,WEBSITE,1_2,NO,100_200,FAIR,BETTER,4,3,PLANNED,THIS_MONTH,BEST_SCHEDULE,NO,FIRST,3,19,1,95.2,CMN-YUL,26,13B,63,0,LOUNGE,2026-03-13 21:37:57.926941
LEISURE,PAIR,MONTHS_AHEAD,MOBILE_APP,1_2,NO,UNDER_100,FAIR,AS_EXPECTED,4,2,PLANNED,3_6_MONTHS,LOWEST_PRICE,NO,ECONOMY,15,4,7,96.9,CMN-ABJ,46,10G,63,0,UPGRADE,2026-04-11 00:39:57.926941
LEISURE,GROUP,MONTHS_AHEAD,WEBSITE,6_10,NO,UNDER_100,GREAT_DEAL,AS_EXPECTED,5,5,PLANNED,NOT_SURE,LOYALTY,YES,BUSINESS,6,12,5,63.4,CMN-FCO,36,1J,50,0,LOUNGE,2026-06-18 10:47:57.926941
LEISURE,ALONE,MONTHS_AHEAD,MOBILE_APP,3_5,NO,UNDER_100,GREAT_DEAL,BETTER,3,4,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,BUSINESS,11,14,12,74.7,CMN-JFK,45,30E,61,0,LOUNGE,2026-05-19 14:57:57.926941
FAMILY,GROUP,LAST_MINUTE,WEBSITE,6_10,YES,200_400,TOO_EXPENSIVE,AS_EXPECTED,4,3,PLANNED,3_6_MONTHS,LOWEST_PRICE,DEPENDS,BUSINESS,4,9,1,97.6,CMN-CAI,19,9H,60,1,LOUNGE,2026-06-26 23:26:57.926941
LEISURE,PAIR,LAST_MINUTE,AIRPORT_COUNTER,1_2,NO,UNDER_100,TOO_EXPENSIVE,AS_EXPECTED,2,2,BOOKED,3_6_MONTHS,LOWEST_PRICE,NO,ECONOMY,3,18,7,77.7,CMN-AMS,50,34G,70,0,UPGRADE,2026-05-05 08:36:57.926941
BUSINESS,GROUP,LAST_MINUTE,AIRPORT_COUNTER,1_2,YES,UNDER_100,GREAT_DEAL,BETTER,2,3,BOOKED,NOT_SURE,DIRECT_FLIGHT,YES,ECONOMY,7,10,12,60.3,CMN-ABJ,5,15E,62,0,UPGRADE,2026-04-08 22:54:57.926941
FAMILY,PAIR,LAST_MINUTE,MOBILE_APP,3_5,NO,100_200,GREAT_DEAL,BETTER,4,4,PLANNED,NOT_SURE,LOYALTY,DEPENDS,ECONOMY,8,17,9,71.7,CMN-MAD,39,3G,61,1,UPGRADE,2026-05-29 20:01:57.926941
LEISURE,ALONE,MONTHS_AHEAD,AGENCY,3_5,NO,100_200,FAIR,AS_EXPECTED,4,3,NO,NOT_SURE,DIRECT_FLIGHT,NO,BUSINESS,15,12,7,63.0,CMN-BCN,11,22G,38,0,LOUNGE,2026-05-22 20:25:57.927941
LEISURE,GROUP,LAST_MINUTE,MOBILE_APP,1_2,YES,ABOVE_400,TOO_EXPENSIVE,AS_EXPECTED,2,5,PLANNED,1_3_MONTHS,LOYALTY,DEPENDS,FIRST,15,21,8,86.0,CMN-BRU,18,36C,52,0,LOUNGE,2026-06-13 18:02:57.927941
LEISURE,ALONE,MONTHS_AHEAD,WEBSITE,3_5,NO,UNDER_100,GREAT_DEAL,AS_EXPECTED,2,5,NO,1_3_MONTHS,DIRECT_FLIGHT,NO,FIRST,9,17,12,59.8,CMN-LOS,31,16H,43,0,LOUNGE,2026-05-10 12:31:57.927941
LEISURE,ALONE,LAST_MINUTE,WEBSITE,6_10,NO,200_400,TOO_EXPENSIVE,BETTER,4,5,NO,NOT_SURE,DIRECT_FLIGHT,YES,BUSINESS,17,25,9,65.4,CMN-DXB,13,16G,36,1,LOUNGE,2026-03-25 02:53:57.927941
LEISURE,PAIR,MONTHS_AHEAD,MOBILE_APP,3_5,YES,UNDER_100,GREAT_DEAL,WORSE,4,2,NO,NOT_SURE,LOWEST_PRICE,DEPENDS,ECONOMY,14,1,12,52.8,CMN-LIS,5,31E,31,0,UPGRADE,2026-04-01 05:27:57.927941
FAMILY,GROUP,MONTHS_AHEAD,WEBSITE,1_2,NO,ABOVE_400,TOO_EXPENSIVE,BETTER,2,3,PLANNED,3_6_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,13,4,11,83.0,CMN-BCN,29,11E,58,0,UPGRADE,2026-05-22 06:47:57.927941
BUSINESS,GROUP,FEW_WEEKS,MOBILE_APP,6_10,YES,UNDER_100,FAIR,AS_EXPECTED,3,5,NO,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,8,15,5,81.0,CMN-ABJ,19,35C,36,1,UPGRADE,2026-02-28 07:14:57.927941
BUSINESS,PAIR,MONTHS_AHEAD,WEBSITE,6_10,YES,ABOVE_400,TOO_EXPENSIVE,BETTER,5,4,PLANNED,3_6_MONTHS,LOWEST_PRICE,NO,FIRST,21,13,5,45.4,CMN-ORY,39,32E,81,0,LOUNGE,2026-05-30 21:18:57.927941
BUSINESS,GROUP,MONTHS_AHEAD,MOBILE_APP,1_2,YES,UNDER_100,FAIR,AS_EXPECTED,4,3,BOOKED,3_6_MONTHS,LOYALTY,DEPENDS,ECONOMY,5,7,3,87.5,CMN-JFK,34,33E,58,0,UPGRADE,2026-05-27 02:35:57.927941
BUSINESS,PAIR,LAST_MINUTE,MOBILE_APP,1_2,NO,100_200,TOO_EXPENSIVE,AS_EXPECTED,5,4,BOOKED,NOT_SURE,LOWEST_PRICE,YES,FIRST,3,15,6,81.3,CMN-FCO,38,25F,53,1,LOUNGE,2026-03-06 23:52:57.927941
LEISURE,GROUP,LAST_MINUTE,MOBILE_APP,3_5,NO,ABOVE_400,GREAT_DEAL,BETTER,2,4,NO,THIS_MONTH,LOWEST_PRICE,YES,ECONOMY,17,5,7,69.5,CMN-CAI,27,38C,32,0,UPGRADE,2026-04-06 15:39:57.927941
LEISURE,PAIR,LAST_MINUTE,MOBILE_APP,1_2,NO,100_200,TOO_EXPENSIVE,BETTER,4,4,BOOKED,3_6_MONTHS,BEST_SCHEDULE,NO,BUSINESS,14,3,11,56.5,CMN-CDG,4,22D,94,1,LOUNGE,2026-03-14 00:06:57.927941
BUSINESS,ALONE,FEW_WEEKS,MOBILE_APP,6_10,NO,200_400,TOO_EXPENSIVE,BETTER,3,4,NO,THIS_MONTH,LOWEST_PRICE,YES,ECONOMY,11,26,4,76.8,CMN-CDG,12,17A,34,1,UPGRADE,2026-05-06 01:04:57.927941
BUSINESS,PAIR,FEW_WEEKS,MOBILE_APP,1_2,NO,UNDER_100,FAIR,WORSE,4,5,PLANNED,THIS_MONTH,LOWEST_PRICE,NO,ECONOMY,12,14,11,50.8,CMN-ABJ,5,6F,49,1,UPGRADE,2026-04-07 23:03:57.927941
BUSINESS,GROUP,MONTHS_AHEAD,WEBSITE,3_5,NO,UNDER_100,TOO_EXPENSIVE,AS_EXPECTED,3,5,PLANNED,1_3_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,14,13,7,84.4,CMN-DXB,28,21E,39,0,UPGRADE,2026-06-08 19:35:57.927941
BUSINESS,ALONE,LAST_MINUTE,WEBSITE,6_10,NO,100_200,FAIR,AS_EXPECTED,4,2,PLANNED,NOT_SURE,LOWEST_PRICE,NO,BUSINESS,19,10,6,50.6,CMN-TUN,14,10H,70,0,LOUNGE,2026-05-12 15:06:57.927941
LEISURE,PAIR,MONTHS_AHEAD,AIRPORT_COUNTER,6_10,NO,UNDER_100,FAIR,AS_EXPECTED,4,2,BOOKED,3_6_MONTHS,LOYALTY,YES,BUSINESS,5,28,3,75.6,CMN-YUL,5,10A,62,1,LOUNGE,2026-04-22 11:41:57.927941
LEISURE,ALONE,FEW_WEEKS,WEBSITE,1_2,NO,UNDER_100,TOO_EXPENSIVE,BETTER,2,2,BOOKED,NOT_SURE,DIRECT_FLIGHT,DEPENDS,ECONOMY,13,9,4,85.8,CMN-BCN,23,28B,70,1,UPGRADE,2026-04-04 08:30:57.927941
BUSINESS,GROUP,LAST_MINUTE,WEBSITE,1_2,YES,100_200,FAIR,BETTER,2,2,PLANNED,NOT_SURE,BEST_SCHEDULE,YES,ECONOMY,17,23,4,72.0,CMN-JFK,5,26A,52,1,UPGRADE,2026-05-01 16:22:57.927941
LEISURE,GROUP,FEW_WEEKS,MOBILE_APP,3_5,YES,UNDER_100,TOO_EXPENSIVE,BETTER,5,4,BOOKED,THIS_MONTH,BEST_SCHEDULE,DEPENDS,BUSINESS,12,17,2,66.4,CMN-IST,48,22D,75,1,LOUNGE,2026-06-14 00:55:57.927941
FAMILY,PAIR,FEW_WEEKS,MOBILE_APP,6_10,NO,100_200,GREAT_DEAL,BETTER,3,3,NO,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,20,16,8,85.7,CMN-ABJ,44,37F,63,0,UPGRADE,2026-04-09 08:14:57.927941
BUSINESS,PAIR,MONTHS_AHEAD,WEBSITE,1_2,YES,UNDER_100,FAIR,AS_EXPECTED,2,4,NO,THIS_MONTH,LOWEST_PRICE,DEPENDS,ECONOMY,16,13,8,76.3,CMN-ORY,29,37D,25,1,UPGRADE,2026-06-21 03:39:57.927941
FAMILY,PAIR,MONTHS_AHEAD,WEBSITE,3_5,YES,ABOVE_400,TOO_EXPENSIVE,AS_EXPECTED,3,4,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,DEPENDS,ECONOMY,10,22,10,47.8,CMN-DXB,5,22B,57,0,UPGRADE,2026-05-10 09:20:57.927941
FAMILY,GROUP,LAST_MINUTE,WEBSITE,3_5,YES,200_400,FAIR,AS_EXPECTED,5,3,PLANNED,THIS_MONTH,LOYALTY,DEPENDS,ECONOMY,20,26,6,88.9,CMN-TUN,6,28J,49,1,UPGRADE,2026-06-01 07:22:57.927941
LEISURE,ALONE,LAST_MINUTE,WEBSITE,1_2,NO,UNDER_100,FAIR,WORSE,3,5,BOOKED,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,FIRST,1,14,6,81.5,CMN-AMS,29,40E,56,0,LOUNGE,2026-03-20 03:42:57.927941
BUSINESS,PAIR,LAST_MINUTE,WEBSITE,10_PLUS,NO,ABOVE_400,FAIR,AS_EXPECTED,5,3,NO,1_3_MONTHS,LOYALTY,YES,ECONOMY,15,28,6,74.9,CMN-BCN,46,34B,28,0,UPGRADE,2026-03-05 01:30:57.927941
BUSINESS,ALONE,FEW_WEEKS,AGENCY,10_PLUS,NO,ABOVE_400,FAIR,BETTER,2,4,BOOKED,3_6_MONTHS,LOWEST_PRICE,NO,ECONOMY,20,11,3,52.4,CMN-IST,31,9H,100,1,UPGRADE,2026-06-28 16:19:57.927941
BUSINESS,ALONE,MONTHS_AHEAD,AIRPORT_COUNTER,3_5,NO,200_400,GREAT_DEAL,BETTER,3,5,PLANNED,NOT_SURE,LOWEST_PRICE,YES,ECONOMY,15,20,9,45.9,CMN-TUN,37,16C,50,1,UPGRADE,2026-04-16 04:48:57.927941
LEISURE,GROUP,FEW_WEEKS,WEBSITE,3_5,NO,UNDER_100,FAIR,AS_EXPECTED,5,4,BOOKED,THIS_MONTH,LOYALTY,NO,ECONOMY,11,8,12,80.5,CMN-BCN,50,38F,80,1,UPGRADE,2026-05-14 00:23:57.927941
LEISURE,GROUP,FEW_WEEKS,AIRPORT_COUNTER,3_5,YES,100_200,GREAT_DEAL,AS_EXPECTED,5,2,BOOKED,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,10,10,9,66.5,CMN-CAI,31,17A,80,1,UPGRADE,2026-03-21 17:24:57.927941
BUSINESS,ALONE,FEW_WEEKS,WEBSITE,3_5,NO,ABOVE_400,FAIR,BETTER,5,4,NO,3_6_MONTHS,LOWEST_PRICE,DEPENDS,BUSINESS,2,14,10,98.7,CMN-LHR,35,19F,39,1,LOUNGE,2026-05-17 20:28:57.927941
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,3_5,NO,200_400,FAIR,AS_EXPECTED,2,2,PLANNED,NOT_SURE,LOYALTY,DEPENDS,ECONOMY,23,22,3,96.5,CMN-LIS,39,29A,55,0,UPGRADE,2026-05-13 05:57:57.927941
BUSINESS,ALONE,MONTHS_AHEAD,WEBSITE,1_2,NO,UNDER_100,FAIR,AS_EXPECTED,5,4,PLANNED,1_3_MONTHS,LOWEST_PRICE,YES,FIRST,5,16,9,65.9,CMN-CAI,8,17E,38,0,LOUNGE,2026-05-31 22:08:57.927941
FAMILY,PAIR,LAST_MINUTE,WEBSITE,6_10,NO,ABOVE_400,TOO_EXPENSIVE,AS_EXPECTED,4,4,PLANNED,3_6_MONTHS,LOYALTY,NO,ECONOMY,22,23,12,79.4,CMN-JFK,33,15B,79,1,UPGRADE,2026-04-26 18:08:57.927941
LEISURE,PAIR,MONTHS_AHEAD,WEBSITE,6_10,YES,ABOVE_400,TOO_EXPENSIVE,AS_EXPECTED,5,5,NO,THIS_MONTH,BEST_SCHEDULE,NO,ECONOMY,20,3,8,70.2,CMN-TUN,23,9J,49,0,UPGRADE,2026-06-05 14:37:57.927941
FAMILY,ALONE,LAST_MINUTE,MOBILE_APP,1_2,YES,100_200,FAIR,WORSE,4,2,BOOKED,3_6_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,19,18,2,72.1,CMN-LHR,38,38C,55,0,UPGRADE,2026-05-15 23:47:57.927941
FAMILY,ALONE,LAST_MINUTE,AIRPORT_COUNTER,6_10,YES,100_200,FAIR,AS_EXPECTED,2,5,NO,3_6_MONTHS,LOYALTY,DEPENDS,ECONOMY,21,13,5,69.5,CMN-ORY,11,29G,43,0,UPGRADE,2026-06-02 07:25:57.928940
BUSINESS,GROUP,FEW_WEEKS,MOBILE_APP,6_10,NO,100_200,FAIR,AS_EXPECTED,2,4,BOOKED,THIS_MONTH,LOYALTY,DEPENDS,ECONOMY,4,4,1,60.7,CMN-YUL,40,27D,82,0,UPGRADE,2026-02-28 23:18:57.928940
BUSINESS,ALONE,FEW_WEEKS,AIRPORT_COUNTER,3_5,NO,ABOVE_400,GREAT_DEAL,WORSE,5,3,BOOKED,3_6_MONTHS,LOWEST_PRICE,YES,BUSINESS,15,20,11,81.3,CMN-IST,35,1B,42,0,LOUNGE,2026-03-08 10:00:57.928940
LEISURE,PAIR,LAST_MINUTE,WEBSITE,3_5,YES,200_400,GREAT_DEAL,AS_EXPECTED,4,2,BOOKED,THIS_MONTH,DIRECT_FLIGHT,YES,BUSINESS,10,18,6,85.8,CMN-BRU,39,33G,53,1,LOUNGE,2026-05-17 02:51:57.928940
BUSINESS,GROUP,LAST_MINUTE,WEBSITE,3_5,YES,200_400,FAIR,AS_EXPECTED,5,4,PLANNED,THIS_MONTH,LOYALTY,YES,ECONOMY,3,14,10,61.6,CMN-CDG,39,31E,40,0,UPGRADE,2026-03-19 23:17:57.928940
LEISURE,GROUP,FEW_WEEKS,WEBSITE,3_5,NO,ABOVE_400,GREAT_DEAL,AS_EXPECTED,2,2,BOOKED,NOT_SURE,LOYALTY,DEPENDS,ECONOMY,13,23,4,67.2,CMN-LOS,48,4C,61,0,UPGRADE,2026-04-28 01:05:57.928940
FAMILY,PAIR,MONTHS_AHEAD,WEBSITE,1_2,NO,200_400,FAIR,BETTER,3,4,PLANNED,1_3_MONTHS,LOYALTY,NO,ECONOMY,22,7,12,83.1,CMN-DXB,31,23J,69,0,UPGRADE,2026-03-19 09:41:57.928940
LEISURE,GROUP,FEW_WEEKS,AGENCY,1_2,YES,100_200,GREAT_DEAL,BETTER,2,4,NO,3_6_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,17,9,9,82.6,CMN-LIS,7,40D,25,0,UPGRADE,2026-04-08 11:05:57.928940
BUSINESS,GROUP,FEW_WEEKS,WEBSITE,6_10,YES,100_200,FAIR,WORSE,5,5,PLANNED,3_6_MONTHS,LOYALTY,YES,ECONOMY,1,25,2,80.2,CMN-AMS,35,3C,42,0,UPGRADE,2026-03-13 13:01:57.928940
BUSINESS,PAIR,FEW_WEEKS,WEBSITE,6_10,NO,200_400,TOO_EXPENSIVE,BETTER,2,4,BOOKED,NOT_SURE,BEST_SCHEDULE,NO,BUSINESS,14,9,4,88.7,CMN-DXB,11,30E,95,1,LOUNGE,2026-05-21 23:39:57.928940
BUSINESS,GROUP,MONTHS_AHEAD,AGENCY,6_10,NO,UNDER_100,FAIR,BETTER,3,5,PLANNED,1_3_MONTHS,LOWEST_PRICE,YES,ECONOMY,7,15,5,96.5,CMN-IST,38,37A,54,1,UPGRADE,2026-05-12 19:23:57.928940
LEISURE,PAIR,FEW_WEEKS,WEBSITE,3_5,NO,200_400,FAIR,AS_EXPECTED,4,4,PLANNED,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,14,24,10,65.2,CMN-CAI,31,35D,53,0,UPGRADE,2026-03-20 16:14:57.928940
LEISURE,PAIR,LAST_MINUTE,AGENCY,1_2,NO,100_200,FAIR,BETTER,4,5,BOOKED,1_3_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,16,15,1,69.5,CMN-TUN,27,30A,52,0,UPGRADE,2026-04-03 08:30:57.928940
BUSINESS,ALONE,MONTHS_AHEAD,WEBSITE,1_2,NO,UNDER_100,FAIR,BETTER,2,5,BOOKED,NOT_SURE,BEST_SCHEDULE,NO,BUSINESS,20,24,11,97.0,CMN-JFK,25,29G,80,1,LOUNGE,2026-04-20 14:29:57.928940
BUSINESS,ALONE,MONTHS_AHEAD,WEBSITE,1_2,NO,UNDER_100,FAIR,WORSE,5,5,PLANNED,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,4,9,4,95.6,CMN-BCN,3,27A,42,1,UPGRADE,2026-06-20 15:35:57.928940
BUSINESS,GROUP,MONTHS_AHEAD,AGENCY,1_2,YES,ABOVE_400,GREAT_DEAL,BETTER,2,3,PLANNED,3_6_MONTHS,BEST_SCHEDULE,NO,ECONOMY,23,19,6,76.2,CMN-DXB,16,20C,76,1,UPGRADE,2026-05-24 16:57:57.928940
LEISURE,GROUP,LAST_MINUTE,MOBILE_APP,3_5,NO,200_400,TOO_EXPENSIVE,AS_EXPECTED,4,5,PLANNED,3_6_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,17,16,4,90.9,CMN-IST,46,10H,39,0,UPGRADE,2026-04-18 04:56:57.928940
LEISURE,ALONE,FEW_WEEKS,WEBSITE,1_2,NO,ABOVE_400,TOO_EXPENSIVE,BETTER,3,2,BOOKED,THIS_MONTH,LOWEST_PRICE,YES,FIRST,18,24,11,75.2,CMN-LOS,14,22E,61,0,LOUNGE,2026-03-26 15:01:57.928940
LEISURE,ALONE,MONTHS_AHEAD,MOBILE_APP,1_2,NO,200_400,FAIR,AS_EXPECTED,4,4,BOOKED,NOT_SURE,DIRECT_FLIGHT,YES,BUSINESS,23,16,6,94.4,CMN-JFK,21,27A,50,0,LOUNGE,2026-05-31 14:03:57.928940
LEISURE,GROUP,MONTHS_AHEAD,MOBILE_APP,1_2,YES,100_200,FAIR,AS_EXPECTED,5,4,BOOKED,NOT_SURE,DIRECT_FLIGHT,DEPENDS,ECONOMY,23,26,6,54.1,CMN-CAI,32,12J,75,1,UPGRADE,2026-03-13 16:29:57.928940
LEISURE,ALONE,FEW_WEEKS,WEBSITE,3_5,YES,100_200,GREAT_DEAL,AS_EXPECTED,4,2,PLANNED,NOT_SURE,DIRECT_FLIGHT,YES,FIRST,17,18,7,45.6,CMN-TUN,47,18J,39,0,LOUNGE,2026-06-26 01:53:57.928940
LEISURE,ALONE,LAST_MINUTE,AGENCY,3_5,YES,200_400,TOO_EXPENSIVE,BETTER,5,2,PLANNED,NOT_SURE,DIRECT_FLIGHT,DEPENDS,BUSINESS,22,8,5,81.9,CMN-MAD,42,3B,58,1,LOUNGE,2026-04-08 18:42:57.928940
BUSINESS,PAIR,MONTHS_AHEAD,MOBILE_APP,3_5,NO,UNDER_100,TOO_EXPENSIVE,WORSE,3,3,NO,NOT_SURE,LOYALTY,YES,ECONOMY,2,22,5,93.6,CMN-ORY,12,21A,13,0,UPGRADE,2026-04-14 14:06:57.928940
LEISURE,PAIR,LAST_MINUTE,WEBSITE,3_5,NO,ABOVE_400,FAIR,AS_EXPECTED,5,3,NO,THIS_MONTH,LOYALTY,YES,BUSINESS,13,8,2,63.4,CMN-YUL,50,21A,14,0,LOUNGE,2026-05-30 06:53:57.928940
BUSINESS,ALONE,MONTHS_AHEAD,MOBILE_APP,1_2,NO,200_400,FAIR,AS_EXPECTED,2,4,BOOKED,1_3_MONTHS,DIRECT_FLIGHT,YES,ECONOMY,3,3,1,95.9,CMN-ABJ,24,18B,43,1,UPGRADE,2026-06-05 04:19:57.928940
LEISURE,PAIR,LAST_MINUTE,WEBSITE,1_2,YES,200_400,TOO_EXPENSIVE,BETTER,5,5,NO,1_3_MONTHS,BEST_SCHEDULE,DEPENDS,ECONOMY,5,5,5,61.3,CMN-LOS,10,5C,32,0,UPGRADE,2026-06-19 06:42:57.928940
